total_blinks,blink_frequency,interval_variance,interval_skewness,duration_mean,duration_variance,duration_range,nose_to_left_ear_max,nose_to_left_ear_min,nose_to_left_ear_skewness,nose_to_right_ear_max,nose_to_right_ear_min,nose_to_right_ear_skewness,nose_to_forehead_max,nose_to_forehead_min,nose_to_forehead_skewness,nose_to_upper_mouth_max,nose_to_upper_mouth_min,nose_to_upper_mouth_skewness,label
6,0.06,17.333333333333332,1.538154092800789,8.5,32.583333333333336,15.0,2.1082747124963124,1.7810191963047421,-0.15531150465582644,2.1446987261773964,1.888771978678992,-0.7404205630335761,4.743530743948462,4.250511319814934,-0.04190746016664821,1.7150279970805749,1.508940651574315,0.35412761008496585,Deepfakes
6,0.06060606060606061,4.5555555555555545,1.6188743610404286,11.666666666666666,142.55555555555557,27.0,1.9647064446909928,1.6684550578387651,0.14763876841689244,1.9852195727859427,1.597712148459857,-0.19115462779541798,3.6920644716771496,3.141766696227205,0.3159091720166831,1.335580306371707,1.0326332414799395,0.3554368652243559,Deepfakes
5,0.050505050505050504,0.0,,16.8,198.16,41.0,2.090478961409677,1.5558175108407015,-0.07990821008797454,2.089132282750062,1.4464190846259897,-0.30747872454418196,4.575506948268603,3.2626748070293314,0.25975716517155456,1.5921030149029893,0.9862862303873404,0.33792701375353806,Deepfakes
6,0.06,2.1388888888888893,1.5688079356781333,11.333333333333334,68.88888888888889,21.0,2.120879916566094,1.5986334213306386,0.6680505254739135,1.9593779461515333,1.5159113656387821,0.5123393714647122,4.203922265798273,3.4098034940284845,0.8110763535733435,1.5843851731882566,1.2346253501800308,0.34497775511000406,Deepfakes
3,0.030303030303030304,6.0,0.0,2.0,0.0,0.0,1.767146454426344,1.4472402103968685,-0.2873284865797541,1.6990924318998606,1.4629658947896318,-0.2253339255629854,3.5210034982100358,3.0708470623208317,0.14386517275477106,1.2633948826070456,0.9902258696545257,0.2731605675481864,Deepfakes
2,0.02,2.25,0.0,2.5,0.25,1.0,1.9055877295670922,1.2441610844205075,-2.7761686060290516,1.96356098460825,1.2002026167477184,-3.507535632261316,4.753220388488751,2.6533971178648783,-3.512889657314742,1.7420981366067656,0.7079331331989396,-2.850732561428029,Deepfakes
2,0.02,4.0,0.0,3.0,1.0,2.0,2.2345904541585973,1.8170523746322091,-0.5678922365814905,2.2254756737621806,1.8986601953327933,0.10597101758481482,4.943542340151651,4.193863476712976,-0.36640687811037864,1.6454377164866918,1.4136010127565064,-0.15257033818247598,Deepfakes
0,0.0,0.0,0.0,0.0,0.0,0.0,1.9200186666565557,1.6331600058398161,-0.22732535083823857,1.9190000868219421,1.633514586977025,0.026900504261935236,3.758582915446157,3.281400149844366,-0.04704722690459134,1.4376176964999114,1.1252632823433801,0.010314275438370449,Deepfakes
2,0.020202020202020204,90.25,0.0,3.0,0.0,0.0,2.7461804082878314,2.190954649930824,0.300179177745599,2.704293667738544,2.004396520893207,0.3658729500377991,5.632077600655311,4.739352645859586,0.1292303800377767,1.9364024224183394,1.311343812899362,-0.5319317298108002,Deepfakes
0,0.0,0.0,0.0,0.0,0.0,0.0,2.471930690454579,1.8502076659528341,0.48201386284902303,2.475930619379659,1.8571150696586798,0.4286999890429062,5.474414943820044,4.151687399949373,0.29872231117437054,1.6600455581886475,1.2339586458891456,0.4176047390121779,Deepfakes
