video_id,nose_to_left_ear_max,nose_to_left_ear_min,nose_to_left_ear_skewness,nose_to_right_ear_max,nose_to_right_ear_min,nose_to_right_ear_skewness,nose_to_forehead_max,nose_to_forehead_min,nose_to_forehead_skewness,nose_to_upper_mouth_max,nose_to_upper_mouth_min,nose_to_upper_mouth_skewness,total_blinks,blink_frequency,interval_variance,interval_skewness,duration_mean,duration_variance,duration_range,label
/workspaces/proyecto/workspace/src_c40/Deepfakes/093_121.mp4,2.183422436128565,1.7151995886883533,-0.1752144151847647,2.157863773876548,1.7026356720324527,-0.2858747538070767,4.794660388675301,3.9899298013667788,0.07944683079559578,1.8085779990592625,1.3848779213434772,0.08407376243448653,2,0.02,484.0,0.0,2.5,0.25,1.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/018_019.mp4,1.7826911712340272,1.4379071189285024,0.10983326670207039,1.8288896960318906,1.4893485653796104,0.060953512668846084,3.7623595753892123,3.0870678362457418,1.798659104779763,1.229263771639776,1.0091644656340373,0.2863852790428261,2,0.02,2.25,0.0,3.5,2.25,3.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/541_523.mp4,1.9886072728609676,1.7353064368212854,0.06930889631999909,1.8967652445546337,1.725731595146876,0.13195063860061168,3.813910955024132,3.3313988352013983,-0.053754826535857454,1.3901401658202668,1.0854515035307948,0.5349674892266044,0,0.0,0.0,0.0,0.0,0.0,0.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/041_063.mp4,2.3281541015527587,1.8986532761095785,-0.24818598197278705,2.36130965820719,1.9567633571572292,-0.33380756817334706,4.567793882038175,3.7246691743988576,-0.24616158238288777,1.728493239963845,1.036188675302942,1.9000096525685952,3,0.03,17.555555555555557,0.4451092653236364,24.666666666666668,61.55555555555555,19.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/353_383.mp4,2.3775997294350635,1.7498489495345073,0.182384948359757,2.443225204328682,1.6046873940589534,-0.18792258403921025,5.331552778770289,3.769176266873204,0.20632193441959706,1.757462012988246,0.9158863633128622,-2.395998967512661,6,0.06,35.25,0.8481246297265651,2.0,0.0,0.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/241_210.mp4,2.1073923270049746,1.7655104926191056,-0.3478468679288772,2.1357365912801307,1.9137576499312428,-0.531013113458193,4.710291887291219,3.8445105158181367,-1.7639581195117957,1.7721361570275618,1.444716428897418,0.20447224835529748,3,0.03,60.666666666666664,0.6983750894271491,18.0,4.666666666666667,5.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/334_318.mp4,1.813735150183576,1.5461798992128644,-0.037587436323493414,1.7833234340199398,1.4842580224727338,-0.8159428425963356,3.566658291096591,3.0887533024018134,-0.0868573300470107,1.2410495938514439,0.9497844907819825,0.32354056052536734,0,0.0,0.0,0.0,0.0,0.0,0.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/401_395.mp4,2.1380961362188105,1.4952862531278275,0.052969757747560964,2.183357228399577,1.7205831599356076,-0.2064938550398684,4.843471979807696,3.738959539963623,0.08071447676878736,1.7081533164730769,1.3265968902611744,0.19420521630620738,10,0.10101010101010101,14.809999999999999,1.413190164205318,3.5,5.25,8.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/737_719.mp4,1.8414781842305992,1.6042073782226214,-0.045385032167836535,1.8141356142183729,1.606044161540789,-0.29734388797706607,3.771984099933422,3.3188100164450205,0.13665125394777197,1.2776684996923866,1.075204352956557,0.1824089003050423,0,0.0,0.0,0.0,0.0,0.0,0.0,Deepfakes
/workspaces/proyecto/workspace/src_c40/Deepfakes/481_469.mp4,1.8876678571358056,1.5330234151844293,-1.016219871235092,1.8604629724879114,1.5395375040021442,-0.471199225005281,4.171285937008674,3.6265539298781375,0.5434985289458595,1.5156280518784422,1.1412780019095703,0.5501304728197772,5,0.050505050505050504,6.16,-0.006279139979418228,10.4,8.239999999999998,7.0,Deepfakes
