emd_y_mean,emd_y_variance,emd_y_range,emd_cb_mean,emd_cb_variance,emd_cb_range,emd_cr_mean,emd_cr_variance,emd_cr_range,label
0.058828142062200287,8.952739179729403e-05,0.04586564078196476,0.04427237932889838,5.530909951706074e-05,0.029300447947969713,0.051626657725219356,3.431148442985648e-05,0.02875447382251064,Deepfakes
0.06543727627390791,0.00030577622425658537,0.0779750116775612,0.08557590724053503,0.0008762424917482501,0.11075824424559705,0.07045477656002241,0.0003454997800203237,0.08990762819796855,Deepfakes
0.04250460843759491,0.00017424920310193736,0.04421114709590784,0.03909597812377155,0.00011048832172260886,0.0428240575034448,0.03944502731145192,0.0001550858497977324,0.04854239430363683,Deepfakes
0.08532651007389562,0.0002509294831371789,0.060626216141149644,0.07386402702216623,0.00017179151549346887,0.05245586046984577,0.05786850198743307,0.0002763420862531708,0.07693595104191164,Deepfakes
0.0686402594815349,0.00046265935645745733,0.07816793438888775,0.1116230729228649,0.000985835985538265,0.09927226414453119,0.06260206123502055,0.0002636214186999342,0.06739346121160539,Deepfakes
0.06635104109103315,0.00017469553691377943,0.048548134843469815,0.04715922665879086,0.00020574823136834566,0.06520699443976487,0.03990772741683442,0.00014435719239061992,0.06494790388529913,Deepfakes
0.04973863949408619,0.00015824999074330191,0.04861969184124782,0.0310222479726728,9.057817452602726e-05,0.04016704253711942,0.03139361435632351,0.00012613625315757672,0.04139546595623344,Deepfakes
0.05262143756539749,0.0004780316930894406,0.08871104894675652,0.03796846342886551,0.0001276939233198015,0.038326922279240026,0.0609827897078243,0.0005168014051120679,0.07019126600533579,Deepfakes
0.046861317224058875,2.0277047789845122e-05,0.02251471436712535,0.047206103555065326,0.0006694937665808514,0.0805930711656174,0.067983233305171,0.001264724639591898,0.10603459791390063,Deepfakes
0.0660920224224033,0.00032652980926171915,0.0703505002219891,0.037493195866684426,9.475416952810327e-05,0.042015947328454484,0.04045166781602278,0.00019443916426429124,0.05673492033515544,Deepfakes
0.05073238965371942,8.997605804346895e-05,0.03907841438169209,0.04394116756803356,6.549214453124334e-05,0.048662453768124336,0.061074858063512254,7.417283052101388e-05,0.05112670164342982,Deepfakes
0.05794909050883532,0.00011212476273458538,0.04851792677239495,0.06398468201977091,8.679517990336775e-05,0.042779782052233394,0.07238374685933927,0.0005320475722940741,0.0955514141043717,Deepfakes
0.04913321371949108,0.00018937970020050775,0.06543934661776044,0.05987342774748219,0.000703241309067133,0.10736217912688945,0.059225303476126916,0.0003412168289488945,0.07741336308533121,Deepfakes
0.021548018260288546,3.2076930500165305e-05,0.03263063155083019,0.014782097178285568,4.849599374483072e-05,0.037898275049240364,0.013279707016581993,4.987990854926968e-05,0.027280347033012613,Deepfakes
